,product,sentiment,hashtags,clean_tweet
0,apple iphone,negative,"['rise_austin', 'sxsw']",  i have a g iphone after  hrs tweeting at rise austin it was dead  i need to upgrade plugin stations at sxsw 
1,apple app,positive,['sxsw'],know about   awesome ipad iphone app that you will likely appreciate for its design also they're giving free ts at sxsw
2,apple ipad,positive,"['ipad', 'sxsw']",can not wait for ipad  also they should sale them down at sxsw 
3,apple app,negative,['sxsw'],i hope this year festival is not as crashy as this year iphone app  sxsw
4,google,positive,['sxsw'],great stuff on fri sxsw marissa mayer google  tim o'reilly tech books conferences  matt mullenweg wordpress 
5,apple ipad,neutral,"['speechtherapy', 'sxsw', 'iear', 'edchat', 'asd']",new ipad apps for speechtherapy and communication are showcased at the sxsw conference  iear edchat asd
7,android,positive,"['sxsw', 'ctia', 'googleio', 'android']", sxsw is just starting  ctia is around the corner and googleio is only a hop skip and a jump from there good time to be an android fan
8,apple app,positive,"['hollergram', 'sxsw']",beautifully smart and simple idea rt   wrote about our hollergram ipad app for sxsw  
9,apple,positive,['sxsw'],counting down the days to sxsw plus strong canadian dollar means stock up on apple gear
10,android,positive,"['sxsw', 'fail']",excited to meet the  at sxsw so i can show them my sprint galaxy s still running android     fail
11,android app,positive,['sxsw'],find  start impromptu parties at sxsw with   i ca not wait til the android app comes out 
12,android app,positive,['sxsw'],foursquare ups the game just in time for sxsw   still prefer  by far best looking android app to date 
13,google other,positive,['sxsw'],gotta love this sxsw google calendar featuring top parties show cases to check out  rt  via   
14,apple app,positive,['sxsw'],great sxsw ipad app from   
15,apple app,positive,"['hollergram', 'sxsw']",haha awesomely rad ipad app by   hollergram sxsw
16,apple ipad,neutral,['sxsw'],holler gram for ipad on the itunes app store    via   sxsw
17,apple iphone,negative,"['sxsw', 'iphone']",i just noticed dst is coming this weekend how many iphone users will be an hour late at sxsw come sunday morning  sxsw iphone
18,apple app,positive,['sxsw'],just added my sxsw flights to  matching people on planes airports also downloaded the  iphone app nicely done 
19,apple app,positive,['sxsw'],must have sxsw app rt  lovely review from forbes for our sxsw ipad app holler gram  
20,apple ipad,positive,['sxsw'],need to buy an ipad while i'm in austin at sxsw not sure if i will need to q up at an austin apple store 
21,apple app,positive,['sxsw'],oh my god the sxsw app for ipad is pure unadulterated awesome it easier to browse events on ipad than on the website  
22,android app,positive,"['android', 'sxsw']",okay this is really it yay new  for android app    kthxbai  sxsw
23,apple app,positive,['sxsw'],photo just installed the sxsw iphone app which is really nice  
24,android app,positive,['sxsw'],really enjoying the changes in gowalla   for android looking forward to seeing what else they  foursquare have up their sleeves at sxsw
25,apple ipad,positive,"['smcdallas', 'sxsw', 'ipad', 'chevysmc']",rt  i'm looking forward to the smcdallas pre sxsw party wed  and hoping i will win an ipad resulting from my shameless promotion  chevysmc
26,apple app,positive,"['hollergram', 'sxsw']",rt haha awesomely rad ipad app by   hollergram sxsw via  
27,google other,positive,"['austin', 'sxsw']",someone started an austin  group in google groups pre sxsw great idea
28,apple app,positive,"['4sq3', 'sxsw', 'keepaustinweird']",the new  sq looks like it is going to rock update for iphone and android should push tonight  sxsw keepaustinweird
29,android app,positive,"['android', 'sxsw']",they were right the   app on android is sweeeeet nice job by the team there  sxsw
30,apple app,positive,"['hollergram', 'sxsw']",very smart from  hollergram ipad app for sxsw   may leave my vuvuzela at home now 
31,apple app,positive,"['sxsw', 'hollergram']",you must have this app for your ipad if you are going to sxsw  hollergram
32,android,neutral,"['sxsw', 'gdgtlive']",attn all  sxsw frineds  register for gdgtlive and see cobra iradar for android  
33,apple ipad,neutral,['sxsw'],anyone at  sxsw want to sell their old ipad 
34,apple ipad,neutral,['sxsw'],anyone at  sxsw who bought the new ipad want to sell their older ipad to me 
35,google,neutral,['sxsw'],at sxsw  oooh rt  google to launch major new social network called circles possibly today 
36,apple ipad,positive,"['ipad2', 'sxsw', 'eventprofs', 'pcma', 'engage365']",the best  rt  ha first in line for ipad at sxsw pop up apple store was an event planner eventprofs pcma engage  
37,apple ipad,neutral,"['itunes', 'sxsw']",spin play  a new concept in music discovery for your ipad from   spin com  itunes sxsw 
38,google,negative,"['google', 'circles', 'social', 'sxsw']", false alarm google circles not coming now  and probably not ever    google circles social sxsw
39,apple,neutral,['sxsw'],vatornews  google and apple force print media to evolve   sxsw
40,apple,positive,['sxsw'], great weather to greet you for sxsw still need a sweater at night apple putting up flash store downtown to sell ipad 
41,apple iphone,neutral,['sxsw'],hootsuite  hootsuite mobile for sxsw  updates for iphone blackberry  android whether you re getting friend   
42,apple iphone,neutral,"['sxsw', 'zazzlesxsw']",hey sxsw  how long do you think it takes us to make an iphone case answer  using zazzlesxsw and we ll make you one 
43,apple ipad,neutral,"['ipad', 'sxsw', 'gadgets']",mashable  the ipad  takes over sxsw video  ipad sxsw gadgets 
44,apple iphone,neutral,"['ubersocial', 'iphone', 'sxsw']",for i pad rt  new ubersocial for iphone now in the app store includes uberguide to sxsw sponsored by   
45,apple iphone,positive,['sxsw'],hand held  hobo  drafthouse launches  hobo with a shotgun  iphone app sxsw 
46,apple,positive,['sxsw'],hooray rt   apple is opening a pop up store in austin for sxsw   
47,google,neutral,"['circles', 'sxsw']",orly      google set to launch new social network circles today at sxsw 
48,apple,positive,['sxsw'],wooooo     apple store downtown austin open til midnight  sxsw 
49,apple ipad,neutral,['sxsw'],khoi vinh  says conde nast headlong rush into ipad publishing was a fundamental misunderstanding of the platform sxsw
53,google,neutral,"['google', 'sxsw']",    google will connect the digital  physical worlds through mobile   sxsw  
54,google,positive,"['bettercloud', 'sxsw']",    talking about   google effort to allow users to have open systems bettercloud sxsw 
55,google,neutral,"['911tweets', 'sxsw']", rt  google before you tweet is the new think before you speak   mark belinsky   tweets panel at sxsw 
56,apple ipad,positive,"['sxsw', 'chaos']", rt  st stop on the sxsw chaos   hunt austin java get in the spy game  a chance  win an ipad 
57,apple ipad,neutral,['sxsw'], rt  those at sxsw check out the holler gram ipad app from   
58,google,neutral,"['google', 'sxsw']",   having fun at google pic  sxsw 
59,apple,neutral,"['books', 'internet', 'apple', 'sxsw']", via    guy kawasaki talks 'enchanted' at sxsw  he knows his stuff  books internet apple sxsw  
60,google,neutral,"['futuremf', 'sxsw']", futuremf   spec for recipes on the web now in google search   sxsw
61,apple,neutral,"['smile', 'sxsw']", smile rt  i think apple pop up store in austin would be a lot more interesting if it actually you know  popped up sxsw
62,apple,negative,['sxsw'],again rt  line at the apple store is insane  sxsw
63,apple,neutral,['sxsw'],agree rt  wait fiona apple is in town  somebody kidnap her and put her in a recording studio until she records a new album  sxsw
65,apple ipad,negative,['sxsw'],attending  ipad design headaches sxsw 
66,apple iphone,negative,['sxsw'],boooo rt  flipboard is developing an iphone version not android says  sxsw
67,apple ipad,positive,"['sxswi', 'sxsw']",check out     in line for their ipad  in austin power to them  sxswi sxsw  
68,google,neutral,"['google', 'pnid', 'sxsw']",check rt  giving added value to location based services needs to battle check in fatigue google pnid sxsw
70,google,positive,['sxsw'],do it rt  come party w google tonight at sxsw   bands food art ice cream nifty interactive maps 
72,google,neutral,['sxsw'],ha ha rt  sxsw news yahoo com is loosing search traffic to new site google com doubt it will last tho w that weird name 
73,google,positive,['sxsw'],holla rt  at google party best ever get your butt over here  sxsw
74,apple iphone,positive,"['sxsw', 'fail']",i love my  iphone case from sxsw but i ca not get my phone out of it fail
76,apple ipad,neutral,"['agnerd', 'sxsw']",ipad  rt  droid  mac here  rt  my agnerd confession using laptop ipad  blackberry to follow sxsw
78,apple app,positive,['sxsw'],new post  iphone app makes it easy to connect on all social networks with people you meet   sxsw
79,apple app,positive,['sxsw'],nice that  iphone app is behaving today crashes yesterday were ridiculous  sxsw
80,apple ipad,neutral,['sxsw'],nice  rt  apple opening popup store for ipad launch in downtown austin during sxsw  via 
81,apple,positive,['sxsw'],nice  rt  hey apple fans get a peek at the space that slated to be a pop up sxsw apple store tomorrow  
82,google,positive,"['sxsw', 'sxwsi']",one thing  is doing so great is get a great down to earth face to google as a company  you can only love her sxsw sxwsi
87,apple app,positive,"['speech', 'sxsw', 'sxswh', 'sxsh']",thanks to  for her mention of our new speech ipad apps being showcased at the sxsw conf   sxswh sxsh
90,apple iphone,negative,['sxsw'],what     sxsw does not provide iphone chargers   i have changed my mind about going next year 
91,apple ipad,neutral,"['sxsw', 'ipad2']",wonder if    will be in the apple flashmob tcrn ch fcs j sxsw ipad 
93,apple ipad,positive,['sxsw'],xmas  rt  shiny new    apps a new  book pop up ipad  stores   sxsw is christmas for nerds 
94,apple iphone,positive,"['ubersocial', 'iphone', 'sxsw']",yai  rt  new ubersocial for iphone now in the app store includes uberguide to sxsw sponsored by cont  
96,google,positive,['sxsw'],fast fun  future  of google presenting at sxsw on search local and mobile
97,google,neutral,"['sxsw', 'austin', 'welivehere', 'gsdm']",gsd m  google industry party tonight   see u there   sxsw austin welivehere gsdm
98,google,neutral,['sxsw'],new buzz   google to launch major new social network called circles possibly today  rt  sxsw 
99,apple ipad,positive,"['ipad', 'sxsw', 'gadget']",headline  ipad  is the must have gadget at sxsw hmm  i could have seen that one coming   gadget
100,apple ipad,unknown,"['sxsw', 'wow']",   apple has opened a pop up store in austin so the nerds in town for sxsw can get their new ipads   wow
101,apple iphone,negative,['sxsw'],know that dataviz translates to satanic on an iphone i'm just sayin'  sxsw
102,google,positive,"['sxsw', 'bizzy']",  google launched checkins a month ago  check ins are ok but check outs are the future  sxsw bizzy
103,google,neutral,"['sxsw', 'bizzy']",  google launched checkins a month ago  check ins are ok but check outs are the future  sxsw bizzy via 
104,google,positive,"['911tweets', 'sxsw']",   google before you tweet is the new think before you speak   mark belinsky   tweets panel at sxsw  
105,google,neutral,"['bettersearch', 'sxsw']",attending left brain search  google right brain search  x  bettersearch   talking about the future of search engines at sxsw
106,apple,positive,"['bawling', 'sxsw']",kawasaki  not c s lewis level reasoning but apple continued existence is evidence for the existence of god  bawling sxsw
107,apple,neutral,"['sxsw', 'jwtatl', 'enchantment']",kawasaki  pagemaker saved apple  oh those were the days  sxsw jwtatl enchantment
108,apple,positive,"['sxsw', 'jwtatl', 'enchantment']",kawasaki  pagemaker saved apple  oh those were the days  sxsw jwtatl enchantment via 
109,android,positive,"['android', 'teamandroid', 'sxsw']",spark for android is up for a teamandroid award at sxsw read about it here  
110,apple,neutral,"['apple', 'sxsw']",unboxing  apple sxsw  apple store sxsw 
111,apple ipad,positive,"['sxsw', 'apple', 'sxswi']", sxsw and apple ipad  are great but thoughts are w japan and apac regions dealing w earthquake  tsunami trauma  sxswi
112,apple,neutral,"['sxsw', 'apple', 'marketing']",at sxsw  apple schools the marketing experts  sxsw  cnet blogs 
113,apple,positive,"['sxsw', 'apple']",at sxsw  apple schools the marketing experts  
114,apple,neutral,"['sxsw', 'apple']",at sxsw  apple schools the marketing experts 
115,apple,positive,"['apple', 'sxsw']",temporary apple store is def not a tent it a powerhouse gym sxsw  
116,apple,positive,"['apple', 'sxsw']",temporary apple store on th and congress for sxsw along with    very happy hipsters 
117,apple,positive,"['apple', 'sxsw', 'ipad2']",   apple wins sxsw  opening a temporary store in downtown austin to support ipad launch  that is good 
119,apple iphone,neutral,"['austin', 'sxsw']",funny how austin is trending but not sxsw only a matter of minutes at this point at least according to twitter for iphone 
120,apple app,positive,"['ipad', 'iphone', 'sxsw']",christian ipad iphone devs i want to talk to u at sxsw or after maybe we can wk together on cool app  me
121,apple ipad,positive,"['ipad2', 'sxsw', 'austin', 'mobile']",the apple ipad  has taken sxsw and austin by storm    excited to a be a part mobile
122,apple ipad,positive,"['ipad2', 'sxsw']",i can haz ipad ifrom sxsw gr  
123,apple ipad,positive,"['ipad2', 'sxsw']",stacks of ipad waiting to be bought at sxsw i got mine no hassle at all apple handled this perfectly 
124,google,neutral,"['google', 'mobile', 'eurorscg', 'sxsw', 'sxswi']", google mobile future and the elusive 'power of here'   via  eurorscg sxsw sxswi
126,google,positive,"['smallbiz', 'seo', 'sxsw']",does your smallbiz need reviews to play on google places  we got an app for that   seo sxsw
127,google,neutral,"['smallbiz', 'seo', 'sxsw']",does your smallbiz need reviews to play on google places  we got an app for that   seo sxsw
128,apple,neutral,"['samsung', 'sony', 'apple', 'hp', 'austin', 'atx', 'sxsw']", samsung  sony follow apple  hp lead   austin atx sxsw
129,apple,neutral,"['samsung', 'sony', 'apple', 'hp', 'austin', 'atx', 'sxsw']", samsung  sony follow apple  hp lead   austin atx sxsw via  rg
130,apple iphone,positive,['sxsw'],take that sxsw  rt  major south korean director gets     to make a movie entirely with his iphone  
131,apple,positive,['sxsw'],beautiful sxsw  apple store sxsw  pic  
132,google,neutral,"['sxsw', 'sxswi', 'pr20chat']",q was at sxsw sxswi for prep amazing pre push locally focus on location based google owns   of the regions billboards  pr chat
133,apple iphone,neutral,['sxsw'],any other sxsw accounts i need to follow or apps to download for iphone 
134,apple iphone,neutral,['sxsw'],headed to sxsw and want to share gather contact info  can turn your iphone into a business card broadcaster 
135,apple iphone,neutral,['sxsw'],headed to sxsw and want to share gather contact info  can turn your iphone into a   
136,apple,neutral,['sxsw'],btw  the sxsw apple store is sold out of all g models vzw  at t 
137,apple app,positive,['sxsw'],must have sxsw app rt  lovely review from forbes for our sxsw ipad app holler gram  
138,apple,positive,['sxsw'],temporary sxsw apple store apple being sneaky as usual  
139,apple,neutral,['sxsw'],anyone at sxsw been by the pop up apple store in austin that gotta be a hopping place today 
140,apple app,positive,['sxsw'],   sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana  cool app  
141,apple ipad,positive,"['sxsw', 'ipad2']",apple won sxsw from day one seeing a ton of ipad 
142,apple,neutral,['sxsw'],anyone at sxsw had a chance to check out the pop up apple store wondering if it is worth the trek from the convention center  
143,apple ipad,positive,['sxsw'],   sxsw ipad store sold out of everything except  gig wifi only white   did you manage to get yours 
144,apple ipad,positive,['sxsw'],   sxsw ipad store sold out of everything except  gig wifi only white  also known as the white jeans configuration 
145,apple ipad,positive,"['sxsw', 'sxsw', 'sxsw']",offered a sxsw ipad promo to ninjafinder users and fans who are not here at sxsw sucks to not be here  sxsw
146,google,neutral,['sxsw'], sxsw is an austin conference do a google search  they have interactive  music  film 
